Correlation,Max re-id,Avg re-id,Encode_Method,Overlap rate,Nr. hash functions,BF length,Random_Selection
0.969969767707825,645,449.3974358974359,ran,100.0,5,1000,2
0.9508160341266392,554,379.2435897435897,ran,100.0,10,1000,2
0.9583621148459948,599,399.5128205128205,ran,100.0,5,1000,3
0.911793400666465,458,295.61538461538464,ran,100.0,10,1000,3
0.9161873115514705,465,300.94871794871796,ran,100.0,5,1000,5
0.7613785521237317,210,119.88461538461539,ran,100.0,10,1000,5
0.704582237128209,206,116.85897435897436,ran,100.0,5,1000,10
0.31298763337018054,63,30.487179487179485,ran,100.0,10,1000,10
0.49190062646249144,103,51.19230769230769,ran,100.0,5,1000,15
0.08690016990652079,71,29.294871794871796,ran,100.0,10,1000,15
0.308292534025985,83,31.692307692307693,ran,100.0,5,1000,20
0.05604294700617261,44,18.76923076923077,ran,100.0,10,1000,20
0.9807939196817472,878,600.7820512820513,,100.0,10,1000,0
